iter	Passed	Remaining
0	131	131733
1	133	66455
2	134	44692
3	135	33791
4	136	27252
5	138	22888
6	139	19785
7	140	17448
8	141	15627
9	143	14255
10	145	13108
11	147	12109
12	148	11269
13	149	10546
14	150	9913
15	152	9356
16	153	8870
17	154	8435
18	155	8044
19	157	7695
20	159	7418
21	160	7149
22	162	6884
23	163	6645
24	164	6420
25	165	6213
26	167	6022
27	168	5842
28	169	5674
29	170	5517
30	171	5371
31	174	5269
32	175	5153
33	177	5032
34	178	4917
35	179	4808
36	180	4704
37	181	4606
38	183	4513
39	184	4424
40	185	4340
41	186	4260
42	189	4212
43	190	4148
44	192	4078
45	193	4011
46	194	3946
47	195	3883
48	197	3823
49	198	3780
50	200	3727
51	201	3674
52	203	3640
53	205	3600
54	206	3552
55	207	3505
56	209	3460
57	210	3416
58	211	3374
59	212	3333
60	214	3294
61	215	3256
62	216	3218
63	220	3225
64	222	3200
65	223	3167
66	225	3135
67	225	3095
68	227	3065
69	228	3037
70	229	3008
71	231	2980
72	233	2959
73	235	2947
74	236	2921
75	238	2899
76	239	2875
77	241	2850
78	242	2825
79	243	2801
80	244	2777
81	246	2754
82	247	2731
83	249	2720
84	250	2700
85	252	2679
86	252	2654
87	254	2634
88	255	2614
89	256	2594
90	257	2575
91	259	2556
92	260	2537
93	261	2519
94	263	2513
95	265	2502
96	266	2485
97	268	2468
98	269	2456
99	271	2443
100	272	2427
101	273	2407
102	274	2392
103	275	2377
104	277	2364
105	279	2357
106	280	2344
107	282	2330
108	283	2316
109	284	2302
110	285	2288
111	286	2275
112	288	2264
113	289	2251
114	290	2239
115	291	2224
116	294	2219
117	295	2209
118	296	2195
119	297	2183
120	299	2172
121	300	2160
122	300	2145
123	302	2133
124	303	2122
125	304	2111
126	305	2101
127	306	2087
128	309	2089
129	310	2079
130	311	2069
131	313	2059
132	314	2049
133	315	2039
134	316	2029
135	317	2020
136	319	2010
137	320	2000
138	321	1990
139	323	1990
140	325	1982
141	326	1974
142	328	1966
143	329	1960
144	331	1952
145	332	1943
146	333	1935
147	334	1926
148	335	1918
149	338	1920
150	340	1915
151	342	1908
152	343	1901
153	344	1894
154	346	1887
155	348	1885
156	349	1878
157	351	1871
158	354	1873
159	355	1867
160	357	1860
161	358	1855
162	360	1850
163	361	1843
164	362	1836
165	364	1829
166	365	1822
167	366	1814
168	368	1811
169	369	1804
170	370	1798
171	372	1791
172	373	1784
173	374	1778
174	375	1771
175	377	1765
176	378	1759
177	379	1752
178	381	1747
179	382	1742
180	383	1733
181	384	1727
182	385	1721
183	386	1715
184	387	1709
185	389	1703
186	390	1697
187	391	1691
188	392	1685
189	393	1679
190	395	1674
191	397	1671
192	398	1666
193	399	1661
194	401	1656
195	402	1651
196	403	1646
197	406	1644
198	408	1645
199	410	1643
200	413	1643
201	414	1637
202	415	1632
203	417	1627
204	418	1622
205	419	1616
206	420	1611
207	421	1606
208	423	1601
209	425	1599
210	427	1597
211	428	1594
212	431	1593
213	433	1591
214	434	1586
215	435	1582
216	437	1578
217	439	1577
218	441	1572
219	442	1568
220	444	1565
221	446	1563
222	448	1563
223	450	1561
224	453	1560
225	455	1560
226	457	1558
227	460	1557
228	462	1556
229	463	1553
230	466	1552
231	468	1551
232	471	1550
233	473	1549
234	474	1544
235	475	1540
236	477	1535
237	479	1535
238	481	1532
239	483	1531
240	485	1529
241	487	1528
242	490	1527
243	492	1526
244	495	1525
245	496	1522
246	498	1518
247	499	1514
248	501	1511
249	502	1507
250	503	1502
251	504	1498
252	505	1493
253	507	1489
254	508	1485
255	509	1480
256	510	1476
257	511	1472
258	513	1467
259	514	1464
260	515	1460
261	517	1456
262	518	1452
263	519	1448
264	520	1444
265	522	1441
266	523	1437
267	524	1433
268	526	1430
269	528	1428
270	529	1425
271	531	1423
272	533	1420
273	534	1416
274	535	1412
275	537	1409
276	538	1406
277	540	1403
278	541	1400
279	543	1396
280	544	1393
281	545	1390
282	548	1390
283	551	1389
284	552	1386
285	554	1385
286	556	1382
287	557	1378
288	559	1375
289	561	1374
290	564	1374
291	566	1374
292	568	1372
293	570	1370
294	573	1370
295	575	1369
296	578	1369
297	580	1367
298	582	1365
299	584	1363
300	585	1360
301	587	1357
302	588	1354
303	590	1352
304	592	1349
305	593	1345
306	594	1342
307	595	1338
308	596	1334
309	598	1331
310	599	1328
311	601	1325
312	602	1322
313	604	1319
314	606	1317
315	607	1314
316	608	1311
317	610	1308
318	611	1306
319	614	1306
320	616	1304
321	618	1301
322	620	1301
323	622	1298
324	623	1295
325	628	1300
326	632	1302
327	634	1300
328	636	1298
329	638	1296
330	639	1293
331	641	1289
332	642	1286
333	643	1283
334	645	1280
335	646	1277
336	647	1274
337	648	1270
338	650	1268
339	652	1267
340	654	1263
341	655	1261
342	656	1258
343	658	1254
344	659	1251
345	660	1248
346	661	1245
347	663	1242
348	664	1239
349	666	1237
350	668	1236
351	669	1232
352	670	1229
353	672	1226
354	673	1223
355	674	1220
356	675	1217
357	676	1213
358	678	1210
359	679	1208
360	682	1208
361	684	1205
362	685	1203
363	687	1200
364	689	1200
365	691	1197
366	692	1195
367	694	1192
368	697	1192
369	698	1190
370	700	1187
371	702	1185
372	703	1182
373	704	1179
374	705	1176
375	707	1173
376	708	1170
377	710	1169
378	712	1166
379	713	1164
380	715	1161
381	716	1158
382	717	1155
383	718	1152
384	719	1149
385	721	1147
386	722	1143
387	723	1141
388	726	1140
389	727	1138
390	728	1135
391	730	1132
392	731	1129
393	733	1127
394	734	1125
395	735	1122
396	737	1119
397	738	1116
398	740	1115
399	742	1113
400	743	1110
401	744	1107
402	745	1104
403	746	1101
404	748	1099
405	749	1096
406	750	1094
407	752	1091
408	753	1088
409	755	1086
410	758	1087
411	760	1085
412	762	1083
413	763	1081
414	765	1078
415	766	1075
416	768	1074
417	772	1075
418	773	1073
419	775	1070
420	776	1068
421	778	1066
422	780	1064
423	781	1061
424	783	1060
425	786	1059
426	788	1058
427	789	1055
428	791	1054
429	794	1052
430	796	1051
431	797	1048
432	799	1047
433	801	1045
434	804	1044
435	806	1043
436	808	1041
437	810	1039
438	811	1037
439	812	1034
440	813	1031
441	815	1029
442	816	1026
443	817	1024
444	818	1021
445	820	1018
446	821	1016
447	822	1013
448	824	1011
449	826	1009
450	827	1007
451	828	1004
452	829	1002
453	831	999
454	832	997
455	833	994
456	834	992
457	836	989
458	837	986
459	838	984
460	839	981
461	840	979
462	842	976
463	843	974
464	844	971
465	845	969
466	847	967
467	849	965
468	850	963
469	852	961
470	853	958
471	854	956
472	856	953
473	857	951
474	859	949
475	861	948
476	862	945
477	863	943
478	865	941
479	867	940
480	869	937
481	870	935
482	871	932
483	873	931
484	875	929
485	877	927
486	879	926
487	881	925
488	883	923
489	885	921
490	887	920
491	890	919
492	892	917
493	893	915
494	895	913
495	897	911
496	898	909
497	899	907
498	901	905
499	903	903
500	905	901
501	906	899
502	908	897
503	910	895
504	911	893
505	912	891
506	914	889
507	915	886
508	917	884
509	919	883
510	920	881
511	922	879
512	924	877
513	925	875
514	928	874
515	930	872
516	932	871
517	935	870
518	937	868
519	940	867
520	942	866
521	944	865
522	947	863
523	948	861
524	950	860
525	951	857
526	953	855
527	954	853
528	956	852
529	959	850
530	961	849
531	963	847
532	965	846
533	966	843
534	968	841
535	969	839
536	970	836
537	971	834
538	972	832
539	974	829
540	975	827
541	976	825
542	978	823
543	979	821
544	982	820
545	984	818
546	985	816
547	987	814
548	990	813
549	991	811
550	993	809
551	994	807
552	995	805
553	997	802
554	998	800
555	1000	798
556	1001	796
557	1002	794
558	1004	792
559	1005	789
560	1006	787
561	1007	785
562	1008	783
563	1010	780
564	1011	778
565	1012	776
566	1013	774
567	1014	771
568	1016	769
569	1017	767
570	1019	766
571	1021	764
572	1023	762
573	1024	760
574	1025	757
575	1026	755
576	1027	753
577	1029	751
578	1030	749
579	1031	746
580	1032	744
581	1033	742
582	1035	740
583	1037	739
584	1040	738
585	1042	736
586	1044	735
587	1045	732
588	1047	730
589	1048	728
590	1050	726
591	1051	724
592	1052	722
593	1055	721
594	1057	720
595	1060	718
596	1062	717
597	1064	715
598	1065	713
599	1066	711
600	1067	709
601	1069	706
602	1070	704
603	1071	702
604	1072	700
605	1073	698
606	1075	696
607	1076	693
608	1077	691
609	1078	689
610	1080	687
611	1081	685
612	1082	683
613	1083	681
614	1084	679
615	1086	677
616	1087	674
617	1088	672
618	1089	670
619	1091	668
620	1092	666
621	1093	664
622	1095	662
623	1096	660
624	1097	658
625	1098	656
626	1099	654
627	1100	652
628	1102	650
629	1103	648
630	1104	645
631	1105	643
632	1107	641
633	1109	640
634	1110	638
635	1112	636
636	1114	635
637	1116	633
638	1117	631
639	1118	629
640	1120	627
641	1121	625
642	1122	623
643	1123	621
644	1125	619
645	1126	617
646	1127	615
647	1128	613
648	1130	611
649	1131	609
650	1132	607
651	1133	604
652	1134	602
653	1135	600
654	1137	598
655	1138	596
656	1139	595
657	1140	593
658	1142	591
659	1143	589
660	1144	587
661	1145	585
662	1146	582
663	1148	580
664	1149	578
665	1150	576
666	1152	575
667	1154	573
668	1156	572
669	1157	570
670	1159	568
671	1160	566
672	1162	564
673	1163	562
674	1164	560
675	1165	558
676	1167	556
677	1168	554
678	1169	553
679	1170	551
680	1172	549
681	1173	547
682	1174	545
683	1175	543
684	1176	541
685	1178	539
686	1180	537
687	1181	535
688	1182	533
689	1184	532
690	1185	530
691	1186	528
692	1189	526
693	1191	525
694	1194	524
695	1196	522
696	1198	520
697	1200	519
698	1201	517
699	1203	515
700	1204	513
701	1205	511
702	1206	509
703	1208	507
704	1209	506
705	1210	504
706	1211	502
707	1212	500
708	1214	498
709	1215	496
710	1216	494
711	1217	492
712	1218	490
713	1220	488
714	1221	486
715	1222	484
716	1223	483
717	1225	481
718	1226	479
719	1227	477
720	1228	475
721	1229	473
722	1231	471
723	1232	469
724	1233	467
725	1234	466
726	1236	464
727	1237	462
728	1238	460
729	1239	458
730	1241	456
731	1242	454
732	1243	452
733	1244	451
734	1246	449
735	1247	447
736	1248	445
737	1249	443
738	1251	442
739	1253	440
740	1254	438
741	1255	436
742	1257	434
743	1258	432
744	1259	431
745	1260	429
746	1262	427
747	1263	425
748	1266	424
749	1268	422
750	1269	420
751	1271	419
752	1273	417
753	1274	415
754	1276	414
755	1278	412
756	1279	410
757	1281	409
758	1283	407
759	1286	406
760	1287	404
761	1289	402
762	1290	400
